id,organization_id,name,iam_role,status,owner_user_id,purpose,autonomy_level,risk_level
agent-001,org-001,ACME CustomerSupportAgent,AGENT,ACTIVE,user-001,Synthetic CustomerSupportAgent workflow,HIGH,HIGH
agent-002,org-001,ACME RiskAnalysisAgent,AGENT,ACTIVE,user-002,Synthetic RiskAnalysisAgent workflow,MEDIUM,LOW
agent-003,org-001,ACME OperationsAgent,AGENT,ACTIVE,user-003,Synthetic OperationsAgent workflow,LOW,MEDIUM
agent-004,org-001,ACME ComplianceAgent,AGENT,ACTIVE,user-004,Synthetic ComplianceAgent workflow,LOW,HIGH
agent-005,org-001,ACME SecurityMonitorAgent,AGENT,ACTIVE,user-005,Synthetic SecurityMonitorAgent workflow,MEDIUM,LOW
agent-006,org-002,Nexa CustomerSupportAgent,AGENT,ACTIVE,user-009,Synthetic CustomerSupportAgent workflow,MEDIUM,LOW
agent-007,org-002,Nexa RiskAnalysisAgent,AGENT,ACTIVE,user-010,Synthetic RiskAnalysisAgent workflow,LOW,MEDIUM
agent-008,org-002,Nexa OperationsAgent,AGENT,ACTIVE,user-011,Synthetic OperationsAgent workflow,LOW,HIGH
agent-009,org-002,Nexa ComplianceAgent,AGENT,ACTIVE,user-012,Synthetic ComplianceAgent workflow,MEDIUM,LOW
agent-010,org-002,Nexa SecurityMonitorAgent,AGENT,ACTIVE,user-013,Synthetic SecurityMonitorAgent workflow,HIGH,MEDIUM
agent-011,org-003,MedCore CustomerSupportAgent,AGENT,ACTIVE,user-017,Synthetic CustomerSupportAgent workflow,LOW,MEDIUM
agent-012,org-003,MedCore RiskAnalysisAgent,AGENT,ACTIVE,user-018,Synthetic RiskAnalysisAgent workflow,LOW,HIGH
agent-013,org-003,MedCore OperationsAgent,AGENT,ACTIVE,user-019,Synthetic OperationsAgent workflow,MEDIUM,LOW
agent-014,org-003,MedCore ComplianceAgent,AGENT,ACTIVE,user-020,Synthetic ComplianceAgent workflow,HIGH,MEDIUM
agent-015,org-003,MedCore SecurityMonitorAgent,AGENT,ACTIVE,user-021,Synthetic SecurityMonitorAgent workflow,MEDIUM,HIGH
agent-016,org-004,UrbanGrid CustomerSupportAgent,AGENT,ACTIVE,user-025,Synthetic CustomerSupportAgent workflow,LOW,HIGH
agent-017,org-004,UrbanGrid RiskAnalysisAgent,AGENT,ACTIVE,user-026,Synthetic RiskAnalysisAgent workflow,MEDIUM,LOW
agent-018,org-004,UrbanGrid OperationsAgent,AGENT,ACTIVE,user-027,Synthetic OperationsAgent workflow,HIGH,MEDIUM
agent-019,org-004,UrbanGrid ComplianceAgent,AGENT,ACTIVE,user-028,Synthetic ComplianceAgent workflow,MEDIUM,HIGH
agent-020,org-004,UrbanGrid SecurityMonitorAgent,AGENT,ACTIVE,user-029,Synthetic SecurityMonitorAgent workflow,LOW,LOW
agent-021,org-005,EduNova CustomerSupportAgent,AGENT,ACTIVE,user-033,Synthetic CustomerSupportAgent workflow,MEDIUM,LOW
agent-022,org-005,EduNova RiskAnalysisAgent,AGENT,ACTIVE,user-034,Synthetic RiskAnalysisAgent workflow,HIGH,MEDIUM
agent-023,org-005,EduNova OperationsAgent,AGENT,ACTIVE,user-035,Synthetic OperationsAgent workflow,MEDIUM,HIGH
agent-024,org-005,EduNova ComplianceAgent,AGENT,ACTIVE,user-036,Synthetic ComplianceAgent workflow,LOW,LOW
agent-025,org-005,EduNova SecurityMonitorAgent,AGENT,ACTIVE,user-037,Synthetic SecurityMonitorAgent workflow,LOW,MEDIUM
