id,agent_id,organization_id,capability,scope,status,issued_at,expires_at
cap-001,agent-001,org-001,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-002,agent-001,org-001,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-003,agent-001,org-001,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-004,agent-002,org-001,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-005,agent-002,org-001,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-006,agent-002,org-001,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-007,agent-003,org-001,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-008,agent-003,org-001,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-009,agent-003,org-001,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-010,agent-004,org-001,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-011,agent-004,org-001,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-012,agent-004,org-001,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-013,agent-005,org-001,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-014,agent-005,org-001,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-015,agent-005,org-001,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
