id,organization_id,agent_id,requested_action,risk_score,governance_outcome,created_at
decision-001,org-001,agent-001,read_data,18,ALLOW,2026-06-01T01:00:00+00:00
decision-002,org-001,agent-002,analyze_risk,54,REVIEW,2026-06-01T02:00:00+00:00
decision-003,org-001,agent-003,execute_action,91,REFUSE,2026-06-01T03:00:00+00:00
decision-004,org-001,agent-004,send_notification,27,ALLOW,2026-06-01T04:00:00+00:00
decision-005,org-001,agent-005,access_sensitive_data,72,REVIEW,2026-06-01T05:00:00+00:00
decision-006,org-002,agent-006,read_data,18,ALLOW,2026-06-02T01:00:00+00:00
decision-007,org-002,agent-007,analyze_risk,54,REVIEW,2026-06-02T02:00:00+00:00
decision-008,org-002,agent-008,execute_action,91,REFUSE,2026-06-02T03:00:00+00:00
decision-009,org-002,agent-009,send_notification,27,ALLOW,2026-06-02T04:00:00+00:00
decision-010,org-002,agent-010,access_sensitive_data,72,REVIEW,2026-06-02T05:00:00+00:00
decision-011,org-003,agent-011,read_data,18,ALLOW,2026-06-03T01:00:00+00:00
decision-012,org-003,agent-012,analyze_risk,54,REVIEW,2026-06-03T02:00:00+00:00
decision-013,org-003,agent-013,execute_action,91,REFUSE,2026-06-03T03:00:00+00:00
decision-014,org-003,agent-014,send_notification,27,ALLOW,2026-06-03T04:00:00+00:00
decision-015,org-003,agent-015,access_sensitive_data,72,REVIEW,2026-06-03T05:00:00+00:00
decision-016,org-004,agent-016,read_data,18,ALLOW,2026-06-04T01:00:00+00:00
decision-017,org-004,agent-017,analyze_risk,54,REVIEW,2026-06-04T02:00:00+00:00
decision-018,org-004,agent-018,execute_action,91,REFUSE,2026-06-04T03:00:00+00:00
decision-019,org-004,agent-019,send_notification,27,ALLOW,2026-06-04T04:00:00+00:00
decision-020,org-004,agent-020,access_sensitive_data,72,REVIEW,2026-06-04T05:00:00+00:00
decision-021,org-005,agent-021,read_data,18,ALLOW,2026-06-05T01:00:00+00:00
decision-022,org-005,agent-022,analyze_risk,54,REVIEW,2026-06-05T02:00:00+00:00
decision-023,org-005,agent-023,execute_action,91,REFUSE,2026-06-05T03:00:00+00:00
decision-024,org-005,agent-024,send_notification,27,ALLOW,2026-06-05T04:00:00+00:00
decision-025,org-005,agent-025,access_sensitive_data,72,REVIEW,2026-06-05T05:00:00+00:00
